id,N,time_steps,train_time,model,Ts,Tt,vi_reward,rl_reward,vi_ns,rl_ns,vi_distance,rl_distance,distribution
83,300,300000,0 days 00:10:53.714901000,ACER,1,1,-7.047953999999916,-6.260119666666678,5.9099,5.518,341.4162,222.6359,truncnorm
84,300,300000,0 days 00:10:35.429555000,ACER,1,1000,-523.8053000000003,-535.3522666666646,15.9573,28.2756,154.2492,158.0025,truncnorm
85,300,300000,0 days 00:10:41.087227000,ACER,1,750,-399.02235,-524.2559,14.4061,149.7874,154.6896,149.7874,truncnorm
86,300,300000,0 days 00:10:36.557446000,ACER,1,500,-272.76229999999856,-290.2994666666748,12.8743,37.8993,159.4128,159.3473,truncnorm
87,300,300000,0 days 00:10:39.385135000,ACER,1,400,-221.20553333333118,-229.5479333333336,11.552999999999999,24.765,157.2394,155.5588,truncnorm
88,300,300000,0 days 00:10:42.036805000,ACER,1,300,-169.5845,-195.2474,10.7124,45.5466,161.3664,160.2485,truncnorm
89,300,300000,0 days 00:10:36.185455000,ACER,1,200,-118.00079999999978,-126.7196333333333,9.017000000000001,25.3567,163.4757,156.7047,truncnorm
90,300,300000,0 days 00:10:47.381143000,ACER,1,100,-65.37306666666677,-64.04349999999995,7.5443,8.158999999999999,175.1344,167.6535,truncnorm
91,300,300000,0 days 00:10:44.786372000,ACER,1,50,-37.90783333333361,-35.34993333333358,6.5983,7.9627,188.5266,165.165,truncnorm
92,300,300000,0 days 00:10:51.966612000,ACER,1,1,-7.0502399999999,-6.009867000000088,5.9083,5.3241,342.582,205.7301,truncnorm
93,300,300000,0 days 00:10:33.145149000,ACER,1,1000,-527.0466999999983,-538.0785666666653,16.2047,17.0029,155.1521,161.1169,truncnorm
94,300,300000,0 days 00:10:37.040277000,ACER,1,750,-398.9714,-404.6431,14.4129,23.1251,154.6692,156.4606,truncnorm
95,300,300000,0 days 00:13:57.862449000,ACER,1,500,-272.42643333333285,-361.0808666666659,12.7986,111.6752,159.2532,149.6434,truncnorm
96,300,30000,0 days 00:01:53.447854000,ACER,1,1000,-532.0267999999987,-544.4064333333315,25.1778,17.8711,155.9947,158.8199,uniform
97,300,30000,0 days 00:01:33.388006000,ACER,1,750,-407.2723,-419.3544,22.9743,41.4339,158.6424,155.9971,uniform
98,300,30000,0 days 00:01:21.584710000,ACER,1,500,-279.80153333333413,-362.65916666666635,19.7577,115.355,159.644,148.3825,uniform
99,300,30000,0 days 00:01:23.539546000,ACER,1,400,-228.67379999999903,-258.47596666666686,18.0478,57.2101,160.5594,159.4966,uniform
100,300,30000,0 days 00:01:22.435780000,ACER,1,300,-173.8453,-296.7994,15.9486,148.3997,160.1524,148.3997,uniform
101,300,30000,0 days 00:01:22.391399000,ACER,1,200,-121.41333333333306,-130.0180666666673,13.8888,27.96,163.5997,156.2114,uniform
102,300,30000,0 days 00:01:19.321437000,ACER,1,100,-65.83240000000015,-200.7946666666671,11.0792,150.596,166.2415,150.596,uniform
103,300,30000,0 days 00:01:18.086120000,ACER,1,50,-37.895883333333074,-40.37813333333342,9.2479,11.9132,173.5473,170.7896,uniform
107,300,3000,0 days 00:00:07.303345000,ACER,1,1,-7.206838999999219,-9.359278333333352,6.3385,8.6081,260.5017,225.3535,uniform
108,300,3000,0 days 00:00:07.025400000,ACER,1,1,-7.233944333332577,-9.08199333333326,6.364,8.1958,260.9833,265.858,uniform
